StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,botcheck1,botcheck2,Consent,Prior-beliefs_1,Final-beliefs_1,Credibility_1,Confidence_1,Sources-Variability_1,Sources-Variability_4,Sources-Variability_5,Attention-Check,Comments,SC0,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Attention_check
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"... thirteen, fourteen, fifteen, sixteen, _______, eighteen, nineteen...
What number belongs in the blank space? Please type the number in numeral form. So, if the answer is one, type 1.","Is the following statement true or false?
Thursday comes before Friday.","Information sheet: Scientific explanations of happiness 


You are invited to take part in a study named “Scientific explanations of happiness”. This research is being conducted by Shilaan Alzahawi (shilaan@stanford.edu) and Benoît Monin (monin@stanford.edu).

 

	Purpose: This study will gather a participant’s thoughts on the results of a hypothetical scientific study on happiness. 
	What you will have to do: The study consists of reading about a scientific study and its results, followed by a series of questions relating to the research, including some questions about judgments and beliefs regarding the findings. Your participation will take about 8-12 minutes, which includes reading this consent information sheet.
	Benefits: You will be paid $2 for your participation. We cannot and do not guarantee that you will receive any benefits from this study. This research may make you more aware of how knowledge is discovered in psychology and help the investigator better understand how people form social judgments. If you decide to participate, you will fill in a questionnaire.
	Risk: There are no known risks associated with these studies.
	What if I do not want to take part? Participation in this study is voluntary and you can choose not to take part or to stop your involvement in this study at given any time.
	What happens at the end of the study? At the end of the study the information will be used for educational purposes, and analyses. The information will be completely confidential. No participant’s name will appear in any of the results. The data will be provided to other researchers but without identifying information. Information that is stored on a work computer will be stored (by the research team) on a computer that is password protected.
	What if I have more questions or do not understand something? If you have any questions about the study you may contact either of the researchers. It is important that you feel that all your questions have been asked.



Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.  You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306



PLEASE READ CAREFULLY BEFORE PARTICIPATING



I am invited to take part in a study named “Scientific explanations of happiness”. 

 

	I have read and understood the participant information sheet.
	I understand what the project is about, and what the results will be used for.
	I understand that what the researchers find out in this study may be shared with others but that my name will not be given to anyone in any written material developed. 
	I am fully aware of what I will have to do, and of any risks and benefits of the study.
	I know I am choosing to take part in the study and I can stop taking part in the study at any stage without giving any reason to the researchers. 



Confidentiality of my research records will be strictly maintained by the researchers.



If you understand the terms and agreements described before and you agree to participate in this study, please proceed. 





Agreement to Participate



Please save a copy of this document for your records.  If you agree to participate in this research project, please complete the following survey.","Before we tell you about the findings of a scientific study on religion and well-being, we would like to learn more about your own beliefs. 

 

How likely do you think it is that people who are more religious generally report higher well-being? 



Please select a percentage on the slider below, from 0% (not likely at all) to 100% (extremely likely).","Thank you for taking the time to read the results. Now, we would like to learn about your beliefs after reading the results of the study. You will be asked 6 questions about these findings. 

 

After learning about the results of this study, how likely do you think it is that people who are more religious generally report higher well-being? 



Please select a percentage on the slider below, from 0% (not likely at all) to 100% (extremely likely). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you.","We would also like to learn how credible you find the results of this research study. We would like you to judge the extent to which you trust the results (i.e., how reliable you think they are). In other words,    

 

If you read these results in a newspaper, how credible would you find them? 



Please select a percentage on the slider below, from 0% (not credible at all) to 100% (extremely credible). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you. - Credibility","How confident are you that 5% is the correct estimate of the increase in reported well-being for people who are more religious? 



Please select a percentage on the slider below, from 0% (not confident at all) to 100% (extremely confident). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you. - Confidence","How likely do you think it is that the following factors had a significant impact on the overall estimate of 5%? 



Please select a percentage on the slider below, from 0% (not likely at all) to 100% (extremely likely). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you. - Bias: Some researchers wanted to arrive at a particular conclusion","How likely do you think it is that the following factors had a significant impact on the overall estimate of 5%? 



Please select a percentage on the slider below, from 0% (not likely at all) to 100% (extremely likely). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you. - Error: Some researchers made mistakes along the way","How likely do you think it is that the following factors had a significant impact on the overall estimate of 5%? 



Please select a percentage on the slider below, from 0% (not likely at all) to 100% (extremely likely). If you would first like to be reminded of the study and the results, you may use the back button to reread the information given to you. - Discretion: Some researchers made idiosyncratic choices among multiple valid (statistical) approaches","This is the final part of the Survey. 
We would like you to recall the scientific study that you read about. Please select the correct answer from below.
I read about...","Thank you for taking the time to take our survey. If you have any comments, you may leave them below.",Score,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Attention_check
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID33""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""SC_0JNIQ5Cg1UVWqns""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""Condition""}","{""ImportId"":""Attention_check""}"
2021-08-26 17:06:54,2021-08-26 17:07:11,IP Address,100,16,True,2021-08-26 17:07:11,R_866SGMm7rjfmc8N,anonymous,EN,seventeen,True,,,,,,,,,,,0,612804c78d031139237cb6cb,61281917e9451c813773f201,61281e87854a4b56e2219b43,,
2021-08-26 17:01:12,2021-08-26 17:08:07,IP Address,100,415,True,2021-08-26 17:08:07,R_yZVQb9SLBURntUl,anonymous,EN,17,True,I agree to participate in this research project,75,85,70,65,75,65,60,Six independent scientists who all concluded that religious people report higher well-being,,386,61280fd52f97f3917ff0df7a,61281933a8af9c2a719e8033,61281d2aee91c4e8c056a210,Multi-consistent,Multi-consistent
2021-08-26 17:02:41,2021-08-26 17:08:54,IP Address,100,373,True,2021-08-26 17:08:55,R_3lVqQAE54rQuVqr,anonymous,EN,17,True,I agree to participate in this research project,70,20,20,30,70,70,20,"Six independent scientists, four of whom concluded that religious people report higher well-being",,271,612810579df9a41d31655ed5,61281917e9451c813773f201,61281d7d2cc9a5de74b21690,Multi-inconsistent,Multi-inconsistent
2021-08-26 17:02:28,2021-08-26 17:09:08,IP Address,100,400,True,2021-08-26 17:09:08,R_3ErN9lVbQq0HPhz,anonymous,EN,17,True,I agree to participate in this research project,85,85,70,70,50,65,51,Six independent scientists who all concluded that religious people report higher well-being,,334,61280c06426c63304e2eee23,61281933a8af9c2a719e8033,61281d7548eef6ae433a6eb0,Multi-consistent,Multi-consistent
2021-08-26 17:04:08,2021-08-26 17:14:32,IP Address,100,624,True,2021-08-26 17:14:32,R_22S9q8M8EQSoaco,anonymous,EN,17,True,I agree to participate in this research project,70,80,85,85,20,15,20,A single team of six scientists who all concluded that religious people report higher well-being,Very interesting research/study about religious people and how their well being increases,111,6127f115eb1f20e90120bd82,61281917e9451c813773f201,61281dd6485c3df905425c84,Single,Single
2021-08-26 17:19:04,2021-08-26 17:22:52,IP Address,100,227,True,2021-08-26 17:22:53,R_Z2nn4BrflfUiBoZ,anonymous,EN,17,True,I agree to participate in this research project,55,60,40,40,65,20,55,Six independent scientists who all concluded that religious people report higher well-being,,271,6127ce810cc9e9b6a458a4df,61281933a8af9c2a719e8033,612821649adb1b0e70171458,Multi-inconsistent,Multi-consistent
2021-08-26 17:11:47,2021-08-26 17:25:21,IP Address,100,813,True,2021-08-26 17:25:22,R_30oPmpaBbxVbVir,anonymous,EN,17,True,I agree to participate in this research project,84,100,70,80,46,59,57,Six independent scientists who all concluded that religious people report higher well-being,,336,5ce5e3156ad4e5001e097513,61281917e9451c813773f201,61281faf7346933da8342f6e,Multi-consistent,Multi-consistent
2021-08-26 17:19:20,2021-08-26 17:25:31,IP Address,100,371,True,2021-08-26 17:25:31,R_27rpsMwd5qVqRTj,anonymous,EN,17,True,I agree to participate in this research project,40,50,60,60,30,20,70,"Six independent scientists, four of whom concluded that religious people report higher well-being",,281,6123ad711ae19ee37f245c7a,61281917e9451c813773f201,612821674f1366a9928e9f35,Multi-inconsistent,Multi-inconsistent
